[00] Packet 1009/36   | Mod: CMD_NOTIFY_MODULE              | Sub: NOTIFY_ACTIVITY_SHOW_CHANGE_TIME    | dict keys(2): ['notifyID', 'notifyData'] | 
[01] Packet 1000/1    | Mod: CMD_LOGIN_DATA_INIT            | Sub: REQ_LOGIN_DATA_INIT                 | dict keys(1): ['retdata'] | pid=10615183
[02] Packet 1022/1    | Mod: CMD_COLLECTMAP_MODULE          | Sub: REQ_INIT_COLLECTMAPDATA             | dict keys(30): ['1716835027', '1717486276', '1717487040', '1717475725', '1713127851', '1701641177', '1717529370', '1717487755'] | pid=10615183, time=1787842191
[03] Packet 1081/3    | Mod: CMD_LLW_MODULE                 | Sub: REQ_LLW_TITLE_INFO                  | dict keys(1): ['titleInfo'] | pid=10615183
[04] Packet 3124/4    | Mod: CMD_PLANTING_ROSE              | Sub: SUBCMD_FARM_PLANT_DATA              | dict keys(1): ['mapData'] | pid=10615183
[05] Packet 5053/1    | Mod: CMD_MAP_BUFF                   | Sub: REQ_LOGIN_DATA_INIT                 | dict keys(1): ['buffs'] | pid=10615183
[06] Packet 1037/1    | Mod: CMD_HEARTBEAT_MODULE           | Sub: REQ_HEARTBEAT                       | dict keys(1): ['time'] | pid=10615183
[07] Packet 1009/202  | Mod: CMD_NOTIFY_MODULE              | Sub: NOTIFY_LOCAL_QUEUE_SYNC             | dict keys(2): ['notifyID', 'notifyData'] | 
[08] Packet 1007/1000 | Mod: CMD_KINGDOM_QUEUE_MODULE       | Sub: REQ_KINGDOM_LOCAL_QUEUE_SYNC        |  | pid=10615183
[09] Packet 1065/1    | Mod: CMD_RAMADAN_RANK_MODULE        | Sub: REQ_RAMADAN_RANK_GET_ID             |  | pid=10615183
[10] Packet 1010/58   | Mod: CMD_ALLIANCE_MODULE            | Sub: REQ_ALLIANCE_GET_BWIDLIST           | dict keys(1): ['retdata'] | castleLevel=60, pid=10615183
[11] Packet 6010/3    | Mod: CMD_TWO_CITY_WAR               | Sub: REQ_BUILD_UPGRADE                   |  | pid=10615183
[12] Packet 1010/83   | Mod: CMD_ALLIANCE_MODULE            | Sub: REQ_ALLIANCE_REQ_ALLIANCE_STRIKE_BACK | dict keys(1): ['retdata'] | castleLevel=60, pid=10615183
[13] Packet 3149/7    | Mod: CMD_PERSONAL_ATY               | Sub: SUBCMD_PERSONAL_ATY_INFO            | dict keys(1): ['atyInfos'] | pid=10615183
[14] Packet 1010/56   | Mod: CMD_ALLIANCE_MODULE            | Sub: REQ_ALLIANCE_MESSAGE_SHIELD_LIST    | dict keys(1): ['retdata'] | castleLevel=60, pid=10615183
[15] Packet 2033/1    | Mod: CMD_KILL_MONSTER_VERIFY        | Sub: REQ_VERIFY_INIT                     | dict keys(1): ['retdata'] | pid=10615183
[16] Packet 1056/5    | Mod: CMD_SETTING_MODULE             | Sub: REQ_KINGDOM_SETTING_INIT_DATA       | dict keys(1): ['kvData'] | pid=10615183
[17] Packet 3080/2    | Mod: CMD_LIMIT_TEAM_ATTR_MODULE     | Sub: REQ_VIEW_LIMIT_TEAM_ATTR_ALLIANCE   | dict keys(3): ['isSelf', 'uids', 'list'] | pid=10615183
[18] Packet 1015/1    | Mod: CMD_MAIL_MODULE                | Sub: REQ_INIT_MAILDATA                   | dict keys(3): ['list', 'numInfo', 'autoGetFlag'] | castleLevel=60, mapID=259, teamID=1041418, pid=10615183
[19] Packet 1058/3    | Mod: CMD_TREASUREMAP_MODULE         | Sub: REQ_TREASUREMAP_ADJUST              |  | pid=10615183
[20] Packet 1042/1    | Mod: CMD_NOTICE_MODULE              | Sub: REQ_NOTICE_INIT_DATA                | dict keys(20): ['ALLIANCE_CHAT', 'LEVELUP_AND_TRAIN', 'PET_PATROL', 'endTimeMin', 'NEW_PERSONAL_MAIL', 'GOLD_GIFT', 'beginTimeHour', 'BATTLE_AND_TROOP'] | pid=10615183
[21] Packet 1043/1    | Mod: CMD_ACCOUNTEXT_MODULE          | Sub: REQ_ACCOUNTEXT_PID                  | dict keys(10): ['inviteName', 'pid', 'inviteCode', 'inviteKingdomid', 'inviterUid', 'bInvite', 'isGM', 'inviteNum'] | pid=10615183
[22] Packet 1002/34   | Mod: CMD_LORD_MODULE                | Sub: REQ_SEAL_ACCOUNT_LIST               |  | pid=10615183, uids=len(19)
[23] Packet 3079/3    | Mod: CMD_WAR_GEM_HALL_MODULE        | Sub: REQ_WAR_GEM_HALL_INFO               | dict keys(1): ['hallInfo'] | pid=10615183
